element,domain,node0,node1,node2,area_m2,quality,heat_flux_W_m2,electric_field_V_m,joule_W_m3
1874,"plate",459,498,497,0.0000027063293750000006,0.9999999999999998,31130.26877976428,7.846086069522898,715236.0961050651
1875,"plate",498,536,497,0.0000027063293749999964,1.0000000000000002,31131.401093377444,7.861015740858361,718359.1831856917
1876,"plate",536,535,497,0.0000027063293749999964,1.0000000000000002,30822.167873403312,7.477985115204201,653284.6563360072
1877,"plate",458,459,497,0.0000027063293750000006,1,32567.342783256987,7.990968458720921,745293.786290395
1878,"plate",496,458,497,0.0000027063293750000023,1,32434.56221548819,7.67013607868998,690186.5086555746
1879,"plate",535,496,497,0.0000027063293749999985,1.0000000000000002,32422.715929676953,7.675587389781146,691427.70975868
1880,"padR",374,336,337,0.0000027063293750000023,1.0000000000000002,37651.78850590791,1.194911551360104,114225.08924590485
1881,"padR",336,297,337,0.0000027063293750000023,1.0000000000000002,37647.589607877584,1.19473279727189,114190.91655016919
1882,"padR",375,374,337,0.0000027063293750000023,1.0000000000000002,37334.47289743792,1.180190589122621,111427.98613228793
1883,"padR",297,298,337,0.0000027063293750000023,1.0000000000000002,37884.64270777635,1.1979995744872447,114816.23843772954
1884,"padR",298,338,337,0.0000027063293750000023,1.0000000000000002,37717.12715106075,1.1877352162400472,112857.19551174332
1885,"padR",338,375,337,0.0000027063293750000023,1.0000000000000002,37717.781674986276,1.187781378955523,112865.96833547868
1886,"plate",774,748,775,0.0000027063293750000044,0.9999999999999998,25722.313024625957,6.514026001840168,492997.43538103154
1887,"plate",803,774,775,0.0000027063293749999955,1,25928.020307961928,6.552137968237554,498459.62229821034
1888,"plate",748,749,775,0.0000027063293750000044,1,25713.449167844945,6.292766373049034,461981.3943688938
1889,"plate",804,803,775,0.0000027063293749999955,1,28038.111981938742,6.950557487562243,563011.376423014
1890,"plate",749,776,775,0.0000027063293750000044,1,27674.442061139962,6.6294340159747085,514706.29765185865
1891,"plate",776,804,775,0.0000027063293749999955,0.9999999999999998,27772.73937040919,6.644011007501734,516756.5738248206
1892,"plate",487,448,449,0.0000027063293750000023,1.0000000000000002,33943.7309749434,8.082118690383211,765814.4717905149
1893,"plate",488,487,449,0.0000027063293750000023,1.0000000000000002,34069.19905771073,7.81510564814448,719881.5974937081
1894,"plate",411,169,449,0.000003076423593749943,0.9681456674049901,35445.88401062021,7.922330213411797,743558.9085052711
1895,"plate",169,488,449,0.0000023362351562499414,0.9584723839534693,35480.52173363776,7.901778071721447,739819.5557251202
1896,"padR",44,45,415,0.0000015624999999999323,0.6351622422070774,37086.61019113206,1.1614049348041036,107908.91380698593
1897,"padR",45,452,415,0.000003076423593749943,0.9681456674049901,36487.42613051315,1.1448522595656925,104854.93569861374
1898,"padR",43,44,415,0.0000015624999999999323,0.7480569904844453,37086.61019112915,1.1614049348041036,107908.91380698593
1899,"padR",375,43,415,0.0000027549057812499427,0.9993674155849073,37477.54281337115,1.1760757701580453,110652.33737222716
1900,"padR",452,414,415,0.0000027063293750000023,1.0000000000000002,36968.33567372827,1.1642056215457002,108429.9783390888
1901,"padR",414,375,415,0.000002706329375000003,1,36967.84043410186,1.1641544745864165,108420.45125596604
1902,"plate",399,400,438,0.0000027063293750000023,1.0000000000000002,11949.24284805081,10.650675952919887,1229977.053491675
1903,"plate",477,476,438,0.0000027063293750000023,1.0000000000000002,12047.355744883305,11.000321406825847,1311832.6069219138
1904,"plate",476,437,438,0.0000027063293750000023,1.0000000000000002,10329.678051956007,10.663154534857469,1230779.2726658278
