node,x_m,y_m,temperature_K,potential_V
423,0.0225,0.01190784925,322.2028573490761,0.6844107583243184
424,0.024999999999999998,0.01190784925,326.65169673279996,0.6613040476477032
425,0.027499999999999997,0.01190784925,330.8883650773665,0.6370087186302015
426,0.03,0.01190784925,334.86902198627445,0.6114497252737571
427,0.0325,0.01190784925,338.5167900378017,0.5847537086308962
428,0.035,0.01190784925,341.7355081398078,0.557300126888014
429,0.037500000000000006,0.01190784925,344.44092154010514,0.5296503797142222
430,0.04000000000000001,0.01190784925,346.59118135046106,0.5023574495154244
431,0.04250000000000001,0.01190784925,348.19421854018043,0.4757739514361894
432,0.04500000000000001,0.01190784925,349.29000414433136,0.4499773452751528
433,0.047500000000000014,0.01190784925,349.9248399681782,0.42481565888612727
434,0.05000000000000002,0.01190784925,350.13244036923743,0.3999999999993426
435,0.05250000000000002,0.01190784925,349.92483996818066,0.3751843411125785
436,0.05500000000000002,0.01190784925,349.2900041443328,0.35002265472361055
437,0.05750000000000002,0.01190784925,348.19421854017475,0.324226048562663
438,0.060000000000000026,0.01190784925,346.59118135044434,0.29764255048353616
439,0.06250000000000003,0.01190784925,344.4409215400722,0.2703496202848551
440,0.06500000000000003,0.01190784925,341.73550813975413,0.24269987311117866
441,0.06750000000000003,0.01190784925,338.5167900377284,0.2152462913683987
442,0.07000000000000003,0.01190784925,334.869021986184,0.1885502747256239
443,0.07250000000000004,0.01190784925,330.8883650772638,0.16299128136925398
444,0.07500000000000004,0.01190784925,326.6516967326906,0.1386959523518283
445,0.07750000000000004,0.01190784925,322.20285734896714,0.11558924167528176
446,0.08000000000000004,0.01190784925,317.5562028414396,0.09349271635521285
447,0.08250000000000005,0.01190784925,312.70723425878,0.07220532181463801
448,0.08500000000000005,0.01190784925,307.6420701309381,0.05154631505367364
